drug	protein
Nebivolol	8044
Nebivolol	9793
Nebivolol	5156
Pimavanserin	15449
Pimavanserin	3423
Pimavanserin	3461
Binimetinib	2518
Binimetinib	2449
Binimetinib	13290
Binimetinib	13006
Binimetinib	13956
Ketanserin	15449
5-Fluorouracil	5964
Vandetanib	3402
Vandetanib	11565
Vandetanib	16624
Vandetanib	15634
Vandetanib	8413
Nitisinone	3964
Nilotinib	3937
Nilotinib	10344
Iloperidone	12754
Iloperidone	171
Iloperidone	3991
Iloperidone	13333
Iloperidone	9116
Iloperidone	11660
Iloperidone	7590
Iloperidone	15449
Iloperidone	12336
Iloperidone	5998
Iloperidone	11974
Enzalutamide	10801
Cabozantinib	6055
Cabozantinib	3937
Cabozantinib	3683
Cabozantinib	1168
Cabozantinib	2611
Cabozantinib	8413
Cabozantinib	2271
Pipamperone	12336
Pipamperone	171
Pipamperone	1929
Pipamperone	9116
Pipamperone	15449
Pipamperone	11473
Pipamperone	3563
Pipamperone	11974
Paliperidone	12754
Paliperidone	16780
Paliperidone	3423
Paliperidone	12336
Paliperidone	171
Paliperidone	10789
Paliperidone	13333
Paliperidone	3563
Paliperidone	9116
Paliperidone	7590
Paliperidone	15449
Paliperidone	11660
Paliperidone	5998
Paliperidone	5275
Paliperidone	11974
Olaparib	9283
Olaparib	12946
Olaparib	1470
Prasugrel	5331
Lumacaftor	8
Amineptine	2217
Amineptine	523
Bexarotene	10800
Bexarotene	14813
Bexarotene	8880
Halofantrine	2310
Saxagliptin	8960
Phenindamine	12754
Diacerein	7916
Diacerein	10750
Diacerein	8973
Diacerein	1648
Diacerein	2093
Diacerein	15564
Diacerein	16559
Diacerein	16779
Ziprasidone	11963
Ziprasidone	11660
Ziprasidone	3423
Ziprasidone	3991
Ziprasidone	3923
Ziprasidone	14250
Ziprasidone	9915
Ziprasidone	12336
Ziprasidone	5998
Ziprasidone	5257
Ziprasidone	13996
Ziprasidone	14352
Ziprasidone	171
Ziprasidone	10789
Ziprasidone	7590
Ziprasidone	3563
Ziprasidone	5372
Ziprasidone	5275
Ziprasidone	12754
Ziprasidone	5232
Ziprasidone	16780
Ziprasidone	13333
Ziprasidone	1744
Ziprasidone	9116
Ziprasidone	15449
Ziprasidone	11974
Nordazepam	16664
Nordazepam	16323
Pitolisant	7962
Pitolisant	2310
Betrixaban	10931
Tianeptine	11974
Tianeptine	5998
Tianeptine	15167
Tianeptine	13800
Aceclofenac	9064
Aceclofenac	9427
Clobazam	16664
Clobazam	16323
Lornoxicam	9064
Lornoxicam	9427
Buclizine	12754
Buclizine	5257
Clemastinum	12754
Ciprofibrate	13279
Lofexidine	3423
Lofexidine	10789
Lofexidine	7590
Lofexidine	11660
Lofexidine	5998
Lofexidine	3563
Lormetazepam	16664
Lormetazepam	16323
Etoricoxib	9427
Vismodegib	1435
Asenapine	11186
Asenapine	1929
Asenapine	9793
Asenapine	11660
Asenapine	5156
Asenapine	3423
Asenapine	3991
Asenapine	3923
Asenapine	9915
Asenapine	12336
Asenapine	5998
Asenapine	171
Asenapine	7590
Asenapine	3563
Asenapine	12754
Asenapine	16780
Asenapine	13333
Asenapine	9116
Asenapine	15449
Asenapine	11974
Lenvatinib	13739
Lenvatinib	3937
Lenvatinib	3683
Lenvatinib	4115
Lenvatinib	1851
Lenvatinib	2611
Lenvatinib	14374
Lenvatinib	7731
Lenvatinib	8413
Lenvatinib	2271
Tipiracil	12574
Salbutamol	8044
Salbutamol	9793
Salbutamol	5156
Synephrine	11473
Phenyl salicylate	9064
Phenyl salicylate	9427
Amylmetacresol	10909
Tolcapone	9043
Salmeterol	8044
Salmeterol	9793
Salmeterol	5156
Ivacaftor	8
Desvenlafaxine	3174
Desvenlafaxine	2217
Desvenlafaxine	523
Salsalate	9064
Salsalate	9427
Fospropofol	3365
Fospropofol	5447
6-aminohexanoic acid	6340
6-aminohexanoic acid	549
6-aminohexanoic acid	5465
4-aminobutyric acid	11137
4-aminobutyric acid	2006
4-aminobutyric acid	12709
5-Aminolevulinic acid	13375
Rifampicin	7470
9,12,15-Octadecatrienoic acid	6406
9,12,15-Octadecatrienoic acid	15799
9,12,15-Octadecatrienoic acid	3920
9,12,15-Octadecatrienoic acid	8297
9,12,15-Octadecatrienoic acid	10095
9,12,15-Octadecatrienoic acid	13206
9,12,15-Octadecatrienoic acid	13279
9,12,15-Octadecatrienoic acid	5631
9,12,15-Octadecatrienoic acid	14813
9,12,15-Octadecatrienoic acid	3516
Firocoxib	9427
Isothipendyl	12754
Gilteritinib	1168
Gilteritinib	7590
Gilteritinib	12030
Gilteritinib	4797
Copanlisib	11198
Copanlisib	2619
Tacrine	4999
Tacrine	2695
Tacrine	8959
Bromfenac	9064
Bromfenac	9427
Benzonatate	14372
Oxybuprocaine	13634
Imatinib	3844
Imatinib	10344
Imatinib	5022
Imatinib	15249
Imatinib	3937
Imatinib	1851
Imatinib	2240
Imatinib	8413
Dapiprazole	11473
Dapiprazole	11660
Dapiprazole	5275
Lenalidomide	8063
Lenalidomide	12951
Lenalidomide	9427
Lenalidomide	941
Vilazodone	2217
Vilazodone	5998
Pomalidomide	13956
Pomalidomide	9427
Pomalidomide	941
Palbociclib	1890
Palbociclib	2902
Selexipag	4058
Calcifediol	15800
Methylnorethindrone	3340
Methylnorethindrone	6624
Methylnorethindrone	10801
Vardenafil	2955
Vardenafil	8330
Vardenafil	6867
Dofetilide	13774
Dofetilide	2310
Dofetilide	16176
Dronedarone	9793
Dronedarone	12409
Dronedarone	13774
Dronedarone	11035
Dronedarone	11473
Dronedarone	11660
Dronedarone	3938
Dronedarone	4255
Dronedarone	6245
Dronedarone	14372
Dronedarone	114
Dronedarone	2310
Dronedarone	2730
Dronedarone	5259
Dronedarone	13206
Dronedarone	6213
Dronedarone	9178
Dronedarone	4787
Dronedarone	5275
Dronedarone	3563
Dronedarone	16780
Dronedarone	13333
Dronedarone	2953
Dronedarone	15496
Acamprosate	11137
Acamprosate	5233
Acamprosate	1015
Bosentan	11176
Bosentan	5924
Almotriptan	9915
Almotriptan	10789
Thioproperazine	9116
Thioproperazine	12336
Thioproperazine	11660
Thioproperazine	5275
Metamizole	9064
Valdecoxib	3807
Valdecoxib	3806
Valdecoxib	9427
Baricitinib	11808
Baricitinib	12809
Baricitinib	13672
