drug	protein
DB00855	13375
DB09536	6167
DB01600	9427
DB01600	9064
DB01878	14217
DB01878	8055
DB00140	11102
DB00140	2522
DB00821	9427
DB00821	9064
DB08897	5257
DB08897	13996
DB08897	1744
DB08897	14352
DB08897	11963
DB00670	5257
DB01116	1481
DB00391	9116
DB00391	11974
DB00391	3806
DB00391	3807
DB00391	171
DB09076	5257
DB09076	13996
DB09076	1744
DB09076	14352
DB09076	11963
DB01071	12754
DB01409	1744
DB01409	5257
DB01409	13996
DB01409	14352
DB01409	11963
DB00986	5257
DB00986	1744
DB00986	13996
DB00986	14352
DB00986	11963
DB00434	12754
DB00434	11186
DB00434	15449
DB00434	1929
DB00434	3423
DB00434	5257
DB00434	13996
DB00434	1744
DB00434	7590
DB06153	5257
DB06153	13996
DB06153	1744
DB06153	15449
DB06153	1929
DB06153	3423
DB06153	5998
DB06153	9915
DB06153	12754
DB06153	11660
DB06153	5275
DB06153	11473
DB06153	3563
DB06153	16780
DB06153	13333
DB00366	12754
DB00366	11963
DB00366	9527
DB00517	5257
DB00517	13996
DB00517	1744
DB00283	12754
DB00387	5257
DB00387	13996
DB00387	14352
DB00387	1744
DB00657	13238
DB00657	14303
DB00657	9968
DB00657	9626
DB01591	1744
DB01591	5257
DB01591	13996
DB01591	14352
DB01591	11963
DB00782	5257
DB01090	1481
DB01090	5962
DB01090	2230
DB00219	5257
DB00424	5257
DB00424	13996
DB00424	1744
DB00424	14352
DB00424	4502
DB00340	11963
DB12278	5257
DB12278	13996
DB12278	1744
DB12278	14352
DB12278	11963
DB12278	2953
DB12278	11660
DB00376	5257
DB00376	13996
DB00376	1744
DB00376	14352
DB00376	11963
DB01339	13238
DB01338	13238
DB01338	13996
DB01338	1744
DB01173	2507
DB01173	10209
DB01173	1015
DB01173	9169
DB01173	12754
DB01173	523
DB01173	13634
DB00332	5257
DB00332	13996
DB00332	1744
DB01337	13238
DB01337	13996
DB01337	1744
DB00809	14352
DB00809	1744
DB00809	5257
DB00809	13996
DB01036	1744
DB01036	13996
DB01036	11963
DB01036	5257
DB01036	14352
DB00245	5257
DB00245	3174
DB00245	12754
DB00245	2217
DB00245	523
DB09300	1744
DB09300	13996
DB00483	13996
DB00483	4999
DB00483	13238
DB00483	5257
DB00483	11963
DB00804	5257
DB00804	1744
DB00804	13996
DB00496	1744
DB00496	5257
DB00496	13996
DB00496	14352
DB00496	11963
DB00732	13238
DB00392	5257
DB00392	9169
DB00392	13996
DB00810	5257
DB00747	5257
DB00747	13996
DB00747	1744
DB00747	14352
DB00747	11963
DB00747	9968
DB00747	9626
DB00747	2696
DB00979	5257
DB00940	5257
DB00940	11186
DB00940	13996
