model,protein
X-1004,16086
X-1004,16086
X-1004,12526
X-1004,3788
X-1004,15535
X-1004,2280
X-1004,8555
X-1004,11621
X-1004,6308
X-1004,13952
X-1004,2560
X-1004,15292
X-1004,1935
X-1004,16957
X-1004,4076
X-1004,1318
X-1004,7666
X-1004,7118
X-1004,5387
X-1004,1021
X-1004,15378
X-1004,3308
X-1004,11191
X-1004,848
X-1004,10125
X-1004,15080
X-1004,12933
X-1004,8298
X-1004,10210
X-1004,15272
X-1004,1661
X-1004,9165
X-1004,6928
X-1004,938
X-1004,2139
X-1004,3058
X-1004,839
X-1004,9676
X-1004,11212
X-1004,15926
X-1004,12277
X-1004,9711
X-1004,5806
X-1004,13948
X-1004,8501
X-1004,14798
X-1004,13887
X-1004,8106
X-1004,15774
X-1004,10665
X-1004,10779
X-1004,9093
X-1004,12126
X-1004,12652
X-1004,5493
X-1004,15793
X-1004,625
X-1004,723
X-1004,8232
X-1004,16586
X-1004,12375
X-1004,16177
X-1004,16199
X-1004,15967
X-1004,14758
X-1004,8229
X-1004,15123
X-1004,13425
X-1004,14608
X-1004,2010
X-1004,14775
X-1004,16191
X-1004,3341
X-1004,14718
X-1004,5673
X-1004,9981
X-1004,10289
X-1004,2391
X-1004,15850
X-1004,8234
X-1004,6423
X-1004,16860
X-1004,3186
X-1004,13227
X-1004,15394
X-1004,13324
X-1004,16278
X-1004,6145
X-1004,1513
X-1004,13736
X-1004,16374
X-1004,7903
X-1004,8223
X-1004,14523
X-1004,15369
X-1004,3245
X-1004,12621
X-1004,3502
X-1004,8236
X-1004,10617
X-1004,16426
X-1004,11633
X-1004,7670
X-1004,12706
X-1004,4967
X-1004,3217
X-1004,9671
X-1004,1272
X-1004,804
X-1004,809
X-1004,10219
X-1004,967
X-1004,853
X-1004,16564
X-1004,7497
X-1004,5110
X-1004,10376
X-1008,14111
X-1008,16086
X-1008,16086
X-1008,13442
X-1008,12526
X-1008,3788
X-1008,11332
X-1008,15535
X-1008,4235
X-1008,1233
X-1008,4014
X-1008,4114
X-1008,7273
X-1008,8555
X-1008,11621
X-1008,13917
X-1008,2560
X-1008,15292
X-1008,16068
X-1008,15327
X-1008,9393
X-1008,12914
X-1008,4076
X-1008,8096
X-1008,1475
X-1008,15498
X-1008,1318
X-1008,7666
X-1008,5387
X-1008,2642
X-1008,15229
X-1008,1021
X-1008,2582
X-1008,15378
X-1008,9898
X-1008,3308
X-1008,11191
X-1008,5290
X-1008,15206
X-1008,848
X-1008,11592
X-1008,10125
X-1008,15080
X-1008,12933
X-1008,4394
X-1008,16858
X-1008,11026
X-1008,11687
X-1008,7414
X-1008,10210
X-1008,15272
X-1008,13026
X-1008,9143
X-1008,1661
X-1008,9165
X-1008,6928
X-1008,11561
X-1008,12633
X-1008,320
X-1008,9597
X-1008,10595
X-1008,521
X-1008,13270
X-1008,3058
X-1008,839
X-1008,9676
X-1008,15792
X-1008,14202
X-1008,10401
X-1008,12277
X-1008,4467
X-1008,16081
X-1008,5806
X-1008,468
X-1008,13265
X-1008,13948
X-1008,10553
X-1008,4700
X-1008,2414
X-1008,13887
X-1008,10089
X-1008,4032
X-1008,8106
X-1008,15774
X-1008,14488
X-1008,10665
X-1008,10779
X-1008,9093
X-1008,12126
X-1008,12652
X-1008,16166
X-1008,15793
X-1008,625
X-1008,723
X-1008,8232
X-1008,16586
X-1008,12375
X-1008,16177
X-1008,16199
X-1008,8229
X-1008,15123
X-1008,13425
X-1008,14608
X-1008,2010
X-1008,14775
X-1008,16191
X-1008,14718
X-1008,5539
X-1008,5673
X-1008,9981
X-1008,10289
X-1008,2391
X-1008,15850
X-1008,8234
X-1008,6423
X-1008,16860
X-1008,3186
X-1008,13227
X-1008,15394
X-1008,13324
X-1008,6145
X-1008,1513
X-1008,13736
X-1008,16374
X-1008,7903
X-1008,15186
X-1008,8223
X-1008,14523
X-1008,15369
X-1008,9639
X-1008,3245
X-1008,12621
X-1008,3502
X-1008,8236
X-1008,10617
X-1008,16426
X-1008,11633
X-1008,7670
X-1008,12706
X-1008,4967
X-1008,8238
X-1008,9703
X-1008,3217
X-1008,9671
X-1008,10219
X-1008,3161
X-1008,916
X-1008,4306
X-1008,14382
X-1008,15278
X-1008,9561
X-1008,2340
X-1008,5080
X-1008,967
X-1008,11669
X-1008,16564
X-1008,7497
X-1008,11624
X-1008,5110
X-1008,5516
X-1008,15765
X-1008,10376
X-1008,2686
X-1008,11832
X-1008,12615
X-1027,16086
X-1027,16086
X-1027,13661
X-1027,5438
X-1027,12526
X-1027,8233
X-1027,15535
X-1027,7496
X-1027,15739
X-1027,9492
X-1027,12945
X-1027,2280
X-1027,294
X-1027,1233
X-1027,12299
X-1027,12413
X-1027,4841
X-1027,5219
X-1027,4121
X-1027,4014
X-1027,15363
X-1027,7420
X-1027,15960
X-1027,7273
X-1027,11662
X-1027,15667
X-1027,854
X-1027,14086
X-1027,4804
X-1027,8555
X-1027,6308
X-1027,8772
X-1027,15810
X-1027,11921
X-1027,15292
X-1027,12544
X-1027,13168
X-1027,12518
X-1027,8938
X-1027,10967
X-1027,2424
X-1027,16068
X-1027,6086
X-1027,1935
X-1027,864
X-1027,1338
X-1027,15163
X-1027,9938
X-1027,14694
X-1027,15042
X-1027,6335
X-1027,7163
X-1027,12914
X-1027,1049
X-1027,2203
X-1027,6047
X-1027,1475
X-1027,5341
X-1027,703
X-1027,7666
X-1027,12164
X-1027,14367
X-1027,7118
X-1027,5387
X-1027,14800
X-1027,15229
X-1027,1021
X-1027,2582
X-1027,15378
X-1027,3308
X-1027,11191
X-1027,16452
X-1027,5290
X-1027,848
X-1027,1587
X-1027,15080
X-1027,14298
X-1027,12062
X-1027,8241
X-1027,12933
X-1027,9273
X-1027,4394
X-1027,5074
X-1027,7899
X-1027,10210
X-1027,4688
X-1027,6556
X-1027,15272
X-1027,996
X-1027,7117
X-1027,13026
X-1027,6944
X-1027,12008
X-1027,9165
X-1027,15853
X-1027,4302
X-1027,10478
X-1027,15737
X-1027,12633
X-1027,1675
X-1027,2420
X-1027,4887
X-1027,7130
X-1027,15300
X-1027,6764
X-1027,9676
X-1027,1278
X-1027,17103
X-1027,16170
X-1027,15792
X-1027,3647
X-1027,15816
X-1027,10188
X-1027,14979
X-1027,12349
X-1027,16095
X-1027,296
X-1027,3452
X-1027,10465
X-1027,12277
X-1027,4467
X-1027,16441
X-1027,16081
X-1027,6814
X-1027,507
X-1027,4740
X-1027,15814
X-1027,13948
X-1027,10553
X-1027,6256
X-1027,13077
X-1027,14798
X-1027,4700
X-1027,2414
X-1027,4836
X-1027,2872
X-1027,2314
X-1027,4032
X-1027,8106
X-1027,1693
X-1027,12353
X-1027,8250
X-1027,12865
X-1027,10694
X-1027,14488
X-1027,10665
X-1027,10779
X-1027,9093
X-1027,5383
X-1027,12126
X-1027,12652
X-1027,5493
X-1027,16166
X-1027,15793
X-1027,625
X-1027,723
X-1027,8232
X-1027,16586
X-1027,13574
X-1027,12375
X-1027,16177
X-1027,16199
X-1027,15967
X-1027,14758
X-1027,8229
X-1027,15123
X-1027,13425
X-1027,14608
X-1027,12445
X-1027,2010
X-1027,14775
X-1027,16191
X-1027,8230
X-1027,3341
X-1027,14718
X-1027,5539
X-1027,9200
X-1027,5673
X-1027,17148
X-1027,9981
X-1027,14136
X-1027,7725
X-1027,10289
