model,protein
X-1004,16086
X-1004,16086
X-1004,1728
X-1004,12526
X-1004,3788
X-1004,15535
X-1004,13534
X-1004,7496
X-1004,15739
X-1004,8901
X-1004,12945
X-1004,2280
X-1004,8521
X-1004,13601
X-1004,4121
X-1004,4014
X-1004,7965
X-1004,4114
X-1004,15960
X-1004,13698
X-1004,15284
X-1004,7273
X-1004,1568
X-1004,11662
X-1004,13895
X-1004,15667
X-1004,1195
X-1004,9634
X-1004,8002
X-1004,8555
X-1004,11621
X-1004,6308
X-1004,2604
X-1004,4243
X-1004,1333
X-1004,7477
X-1004,4305
X-1004,12423
X-1004,1904
X-1004,3873
X-1004,12804
X-1004,5496
X-1004,13952
X-1004,15810
X-1004,2560
X-1004,11921
X-1004,13332
X-1004,2214
X-1004,15292
X-1004,12544
X-1004,1227
X-1004,14355
X-1004,1181
X-1004,9043
X-1004,2424
X-1004,16068
X-1004,1935
X-1004,864
X-1004,1338
X-1004,15163
X-1004,14694
X-1004,15042
X-1004,6335
X-1004,4668
X-1004,16957
X-1004,16868
X-1004,4076
X-1004,8096
X-1004,789
X-1004,6047
X-1004,15498
X-1004,5341
X-1004,747
X-1004,1318
X-1004,12193
X-1004,9636
X-1004,7666
X-1004,12164
X-1004,14367
X-1004,7118
X-1004,5387
X-1004,2642
X-1004,15395
X-1004,14800
X-1004,1607
X-1004,8996
X-1004,552
X-1004,15200
X-1004,1400
X-1004,17159
X-1004,15330
X-1004,15229
X-1004,5636
X-1004,1021
X-1004,11091
X-1004,2582
X-1004,15378
X-1004,596
X-1004,15993
X-1004,13052
X-1004,16519
X-1004,3308
X-1004,11191
X-1004,5290
X-1004,15206
X-1004,7778
X-1004,848
X-1004,11592
X-1004,3400
X-1004,10313
X-1004,12257
X-1004,10562
X-1004,10125
X-1004,16876
X-1004,15080
X-1004,8344
X-1004,14980
X-1004,11857
X-1004,5892
X-1004,12933
X-1004,4394
X-1004,9286
X-1004,9587
X-1004,5074
X-1004,14002
X-1004,8170
X-1004,11687
X-1004,7899
X-1004,8298
X-1004,15915
X-1004,11034
X-1004,571
X-1004,152
X-1004,7414
X-1004,10210
X-1004,4688
X-1004,15272
X-1004,1405
X-1004,12021
X-1004,13026
X-1004,991
X-1004,9143
X-1004,11464
X-1004,1955
X-1004,15481
X-1004,1661
X-1004,12008
X-1004,9165
X-1004,6928
X-1004,15853
X-1004,4302
X-1004,7236
X-1004,168
X-1004,14107
X-1004,15737
X-1004,12633
X-1004,9597
X-1004,938
X-1004,15149
X-1004,2139
X-1004,10932
X-1004,10595
X-1004,6764
X-1004,3058
X-1004,839
X-1004,9676
X-1004,240
X-1004,7836
X-1004,6114
X-1004,10614
X-1004,16170
X-1004,15792
X-1004,15816
X-1004,1881
X-1004,11212
X-1004,14202
X-1004,15926
X-1004,10188
X-1004,14979
X-1004,7716
X-1004,14773
X-1004,3452
X-1004,10465
X-1004,3337
X-1004,6427
X-1004,7517
X-1004,12277
X-1004,3419
X-1004,4467
X-1004,9711
X-1004,16441
X-1004,13289
X-1004,479
X-1004,16081
X-1004,6814
X-1004,5806
X-1004,5172
X-1004,13265
X-1004,2146
X-1004,13948
X-1004,10553
X-1004,456
X-1004,16688
X-1004,15607
X-1004,9811
X-1004,1232
X-1004,8501
X-1004,6256
X-1004,6554
X-1004,10532
X-1004,14798
X-1004,4700
X-1004,12538
X-1004,5555
X-1004,1664
X-1004,2414
X-1004,4836
X-1004,4599
X-1004,2872
X-1004,16235
X-1004,13887
X-1004,4032
X-1004,8106
X-1004,15349
X-1004,415
X-1004,13492
X-1004,5563
X-1004,2812
X-1004,12865
X-1004,4505
X-1004,15774
X-1004,14077
X-1004,11577
X-1004,14018
X-1004,14488
X-1004,10665
X-1004,10779
X-1004,9093
X-1004,12126
X-1004,12652
X-1004,5493
X-1004,16166
X-1004,15793
X-1004,625
X-1004,723
X-1004,8232
X-1004,16586
X-1004,13574
X-1004,12375
X-1004,16177
X-1004,16199
X-1004,15967
X-1004,14758
X-1004,8229
X-1004,15123
X-1004,13425
X-1004,14608
X-1004,12445
X-1004,2010
X-1004,14775
X-1004,16191
X-1004,3341
X-1004,14718
X-1004,5539
X-1004,9200
X-1004,5673
X-1004,9981
X-1004,14136
X-1004,10289
X-1004,2391
X-1004,15850
X-1004,8234
X-1004,6423
X-1004,5557
X-1004,1068
X-1004,16860
X-1004,3186
X-1004,13227
X-1004,15394
X-1004,13324
X-1004,16278
X-1004,6145
X-1004,1513
X-1004,13736
X-1004,16374
X-1004,7903
X-1004,15186
X-1004,8223
X-1004,4438
X-1004,14523
X-1004,15369
X-1004,8499
X-1004,9639
X-1004,3245
X-1004,16413
X-1004,12621
X-1004,3502
X-1004,8236
X-1004,10617
X-1004,16426
X-1004,11633
X-1004,7670
X-1004,12706
X-1004,4967
X-1004,8238
X-1004,11257
X-1004,3217
X-1004,9700
X-1004,9671
X-1004,15859
X-1004,1272
X-1004,804
X-1004,1209
X-1004,13897
X-1004,14888
X-1004,809
X-1004,10219
X-1004,7507
X-1004,5560
X-1004,7924
X-1004,14461
X-1004,7949
X-1004,3161
X-1004,4803
X-1004,5147
X-1004,12190
X-1004,4306
X-1004,4060
X-1004,10152
X-1004,9561
X-1004,6334
X-1004,2340
X-1004,11052
X-1004,13584
X-1004,631
X-1004,967
X-1004,11669
X-1004,8724
X-1004,853
X-1004,9635
X-1004,16564
X-1004,1605
X-1004,2288
X-1004,13963
X-1004,11073
X-1004,7497
X-1004,11624
X-1004,7856
X-1004,10771
X-1004,7624
X-1004,13532
X-1004,5110
X-1004,5727
X-1004,7203
X-1004,5516
X-1004,2603
X-1004,8783
X-1004,2847
X-1004,11199
X-1004,16314
X-1004,329
X-1004,10376
X-1004,2686
X-1004,11832
X-1004,12615
X-1004,11894
X-1008,14111
X-1008,16086
X-1008,16086
X-1008,13442
X-1008,12419
X-1008,1579
X-1008,12526
X-1008,8233
X-1008,4416
X-1008,4140
X-1008,402
X-1008,9762
X-1008,2548
X-1008,3788
X-1008,11332
X-1008,15535
X-1008,0
X-1008,5285
X-1008,4235
X-1008,7496
X-1008,12945
X-1008,2280
X-1008,8521
X-1008,1233
X-1008,12413
X-1008,5219
X-1008,13601
X-1008,4121
X-1008,4014
X-1008,6960
X-1008,4114
X-1008,15960
X-1008,15284
X-1008,7273
X-1008,1568
X-1008,11662
X-1008,15667
X-1008,14086
X-1008,739
X-1008,9634
X-1008,8555
X-1008,11621
X-1008,6308
X-1008,1370
X-1008,13917
X-1008,4305
X-1008,3873
X-1008,15810
X-1008,2560
X-1008,11921
X-1008,2214
X-1008,14761
X-1008,3220
X-1008,15292
X-1008,12544
X-1008,10398
X-1008,12518
X-1008,14355
X-1008,8938
X-1008,10967
X-1008,1181
X-1008,9961
X-1008,9175
X-1008,4750
X-1008,16068
X-1008,1935
X-1008,864
X-1008,9938
X-1008,14694
X-1008,6335
X-1008,4668
X-1008,15327
X-1008,16629
X-1008,9393
X-1008,12914
X-1008,4076
X-1008,8096
X-1008,1049
X-1008,10767
X-1008,6047
X-1008,1475
X-1008,15498
X-1008,13982
X-1008,12909
X-1008,12648
X-1008,12779
X-1008,1318
X-1008,12193
X-1008,9342
X-1008,703
X-1008,7666
X-1008,12164
X-1008,14367
X-1008,7118
X-1008,5387
X-1008,2642
X-1008,14800
X-1008,552
X-1008,15200
