cell,protein
786-0,320
786-0,848
786-0,16086
786-0,15526
786-0,7903
786-0,7497
786-0,15123
786-0,967
786-0,16086
786-0,15292
A498,10771
A498,1304
A498,1402
A498,12653
A498,320
A498,8229
A498,848
A498,9703
A498,1513
A498,916
A498,10779
A498,4791
A498,7949
A498,16086
A498,5110
A498,16493
A498,15526
A498,8751
A498,15853
A498,13574
A498,7903
A498,3245
A498,17088
A498,6448
A498,16575
A498,11191
A498,16819
A498,15737
A498,16450
A498,13887
A498,15186
A498,8223
A498,3828
A498,15080
A498,15191
A498,6574
A498,9898
A498,4790
A498,6814
A498,4967
A498,1278
A498,15508
A498,12706
A498,15535
A498,15378
A498,14773
A498,11123
A498,15792
A498,5806
A498,7497
A498,10125
A498,15123
A498,17037
A498,864
A498,14758
A498,9165
A498,9639
A498,1579
A498,13632
A498,10665
A498,15760
A498,16081
A498,16278
A498,14202
A498,8236
A498,3186
A498,14775
A498,14523
A498,13026
A498,9561
A498,10617
A498,16068
A498,14298
A498,8233
A498,6256
A498,14694
A498,6308
A498,9892
A498,15793
A498,2508
A498,853
A498,2420
A498,13540
A498,2391
A498,16426
A498,14798
A498,13948
A498,967
A498,15967
A498,4544
A498,10188
A498,1405
A498,8855
A498,5539
A498,8234
A498,16586
A498,5387
A498,14449
A498,13227
A498,16191
A498,16086
A498,15276
A498,12193
A498,3341
A498,16441
A498,6145
A498,15810
A498,15765
A498,15394
A498,16374
A498,8701
A498,15593
A498,625
A498,6423
A498,15229
A498,16472
A498,1021
A498,10210
A498,10289
A498,14604
A498,6960
A498,15292
A498,703
A498,996
A498,2340
A498,11633
A498,15369
A498,4700
A498,13425
A498,6335
A498,1338
A498,16166
A498,14488
A498,12277
A498,1935
A498,15960
A498,7725
A498,11731
A498,2522
A498,5368
A498,14800
A498,8235
A498,9671
A498,14136
A498,17093
A498,9200
A498,3195
A498,15621
A498,4121
A498,16177
A498,13736
A498,10694
A498,16860
A498,2414
A498,3217
A498,7142
A498,16413
A498,3161
A498,16199
A498,10160
A498,15223
A498,3308
A498,9981
A498,1634
A498,12526
A498,12375
A498,13324
A498,16993
A498,5074
A498,723
A498,15272
A498,9676
A498,1233
A498,3820
A498,10031
A498,11658
A498,7670
A498,6944
A498,1049
A498,15327
A498,5673
A498,12621
A498,12544
A498,14718
A498,7666
A498,10163
A498,9093
A498,10465
A498,15850
A498,4186
A498,2394
A498,12914
A498,2010
A498,15042
A498,12079
A549,12062
A549,10771
A549,12653
A549,320
A549,2202
A549,14608
A549,8229
A549,15330
A549,848
A549,9703
A549,15466
A549,15894
A549,1513
A549,10779
A549,4791
A549,9811
A549,7949
A549,1904
A549,16086
A549,5110
A549,16493
A549,15526
A549,3452
A549,8751
A549,12164
A549,6231
A549,15853
A549,3973
A549,13574
A549,7903
A549,3245
A549,17088
A549,16575
A549,11669
A549,3137
A549,11191
A549,16819
A549,15737
A549,13660
A549,16450
A549,8851
A549,15186
A549,7273
A549,12652
A549,8223
A549,3828
A549,12933
A549,3502
A549,15080
A549,3647
A549,1847
A549,4790
A549,4967
A549,1278
A549,6925
A549,14731
A549,15508
A549,12706
A549,15378
A549,4638
A549,14002
A549,14773
A549,16926
A549,6047
A549,11123
A549,14980
A549,15792
A549,5806
A549,7497
A549,10125
A549,15123
A549,3120
A549,17037
A549,4394
A549,10376
A549,8496
A549,864
A549,14758
A549,17015
A549,12126
A549,14732
A549,9639
A549,5219
A549,2362
A549,1579
A549,15498
A549,10665
A549,7194
A549,15760
A549,16081
A549,16278
A549,8238
A549,8236
A549,6928
A549,12445
A549,3186
A549,14775
A549,8609
A549,8555
A549,12008
A549,14523
A549,1333
A549,4096
A549,5493
A549,11044
A549,9561
A549,10617
A549,17088
A549,16068
A549,17093
A549,13227
A549,2717
A549,5172
A549,2872
A549,3337
A549,8230
A549,8233
A549,6256
A549,5383
A549,14694
A549,6308
A549,854
A549,11561
A549,16926
A549,7163
A549,9892
A549,15793
A549,2508
A549,853
A549,11690
A549,809
A549,5516
A549,5080
A549,2391
A549,9203
A549,10089
A549,3183
A549,16426
A549,14798
A549,13948
A549,967
A549,739
A549,15967
A549,4544
A549,10188
A549,1405
A549,11212
A549,188
A549,8855
A549,5539
A549,8234
A549,16586
A549,5387
A549,4438
A549,5976
A549,13227
A549,16191
A549,5290
A549,16086
A549,12193
A549,12413
A549,11267
A549,3341
A549,16441
A549,14436
A549,6145
A549,15765
A549,17088
A549,14461
A549,15394
A549,5069
A549,16374
A549,8701
A549,10759
A549,14029
A549,16643
A549,17088
A549,10782
A549,14659
A549,15593
A549,6872
A549,625
A549,6423
A549,15229
A549,16472
A549,15667
A549,1021
A549,10210
A549,7141
A549,10289
A549,4950
A549,12178
A549,847
A549,7997
A549,6960
A549,9670
A549,15292
A549,703
A549,996
A549,2340
A549,15774
A549,15481
A549,12633
A549,11633
A549,6114
A549,17031
A549,15369
A549,3250
A549,4700
A549,13425
A549,6554
A549,16976
A549,6335
A549,1338
A549,16166
A549,14488
A549,9938
A549,12277
A549,3768
A549,1935
A549,7725
A549,11332
A549,2522
A549,5368
A549,14800
A549,4646
A549,12299
A549,7856
A549,3367
A549,8235
A549,9671
A549,14136
A549,17093
A549,6086
A549,9200
A549,8499
A549,596
A549,15621
A549,11723
A549,4121
A549,4467
A549,4891
A549,8106
A549,291
A549,16177
A549,11205
A549,13736
A549,10694
A549,12021
A549,16858
A549,7414
A549,16860
A549,2414
A549,3217
A549,7142
A549,14187
A549,16413
A549,11704
A549,3161
A549,16199
A549,10471
A549,2686
A549,12319
A549,16236
A549,14979
A549,15223
A549,3308
A549,11662
A549,3082
A549,7118
A549,1318
A549,1400
A549,10219
A549,9981
A549,411
A549,12526
A549,17093
A549,12375
A549,13324
A549,7706
A549,12804
A549,5074
A549,723
A549,15272
A549,17088
A549,15816
A549,2560
A549,11016
A549,9676
A549,513
A549,1233
A549,14367
A549,11658
A549,13917
A549,7670
A549,14086
A549,6944
A549,5673
A549,4804
A549,12621
A549,12544
A549,16926
A549,2280
A549,14718
A549,1474
A549,7666
A549,8724
A549,9093
A549,10465
A549,17093
A549,15850
A549,7517
A549,4186
A549,12914
A549,2010
A549,4357
A549,15042
A549,12079
ACHN,4416
ACHN,12653
ACHN,320
ACHN,487
ACHN,14608
ACHN,8229
ACHN,848
ACHN,9703
ACHN,352
ACHN,1513
ACHN,2314
ACHN,916
ACHN,10779
ACHN,4791
ACHN,7949
ACHN,1904
ACHN,16086
ACHN,5110
ACHN,15526
ACHN,7583
ACHN,8751
ACHN,12164
ACHN,15853
ACHN,13574
ACHN,7903
ACHN,3245
ACHN,11669
ACHN,11191
ACHN,16819
ACHN,15737
ACHN,16450
ACHN,427
ACHN,13887
ACHN,15186
ACHN,12652
ACHN,8223
ACHN,3828
ACHN,12933
ACHN,3502
ACHN,15080
ACHN,3647
ACHN,15607
ACHN,5369
ACHN,6574
ACHN,9665
ACHN,4032
ACHN,4790
ACHN,4967
ACHN,1278
ACHN,15508
ACHN,12706
ACHN,15535
ACHN,15378
ACHN,4638
ACHN,14002
ACHN,8308
ACHN,14773
ACHN,15807
ACHN,13584
ACHN,15792
ACHN,5806
ACHN,7497
ACHN,10125
ACHN,15123
ACHN,3120
ACHN,17037
ACHN,4394
ACHN,10376
ACHN,864
ACHN,14758
ACHN,449
ACHN,17015
ACHN,9165
ACHN,12126
ACHN,10974
ACHN,9639
ACHN,5219
ACHN,2362
ACHN,1579
ACHN,15498
ACHN,13632
ACHN,10665
ACHN,16081
ACHN,16278
ACHN,8238
ACHN,15814
ACHN,8236
ACHN,12445
ACHN,3186
ACHN,14775
ACHN,8241
ACHN,8555
ACHN,12008
ACHN,14523
ACHN,1333
ACHN,4096
ACHN,5493
ACHN,9587
ACHN,13026
ACHN,9561
ACHN,10617
ACHN,16068
ACHN,13270
ACHN,14298
ACHN,2872
ACHN,8230
ACHN,8233
ACHN,6256
ACHN,5383
ACHN,14694
ACHN,6308
ACHN,7163
ACHN,13958
ACHN,7026
ACHN,9892
ACHN,15793
ACHN,2508
ACHN,853
ACHN,809
ACHN,5516
ACHN,2391
ACHN,10089
ACHN,4215
ACHN,14714
ACHN,3183
ACHN,16426
ACHN,15904
ACHN,14956
ACHN,14798
ACHN,13948
ACHN,967
ACHN,15967
ACHN,13510
ACHN,1405
ACHN,5539
ACHN,8234
ACHN,16586
ACHN,5387
ACHN,14449
ACHN,13227
ACHN,16191
ACHN,5290
ACHN,16086
ACHN,12193
ACHN,12413
ACHN,3341
ACHN,16441
ACHN,6145
ACHN,15810
ACHN,15765
ACHN,17088
ACHN,14461
ACHN,15394
ACHN,16374
ACHN,8701
ACHN,10759
ACHN,14029
ACHN,16643
ACHN,14659
ACHN,15593
ACHN,6746
ACHN,625
ACHN,6423
ACHN,15229
ACHN,16472
ACHN,12427
ACHN,1021
ACHN,10210
ACHN,1181
ACHN,10289
ACHN,7679
ACHN,4950
ACHN,847
ACHN,7997
ACHN,6960
ACHN,15292
ACHN,703
ACHN,996
ACHN,2340
ACHN,12654
ACHN,13541
ACHN,15774
ACHN,12633
ACHN,3345
ACHN,11633
ACHN,6114
ACHN,15369
ACHN,3250
ACHN,4700
ACHN,13425
ACHN,6554
ACHN,6335
ACHN,1338
ACHN,16166
ACHN,14488
ACHN,10423
ACHN,16564
ACHN,12277
ACHN,1935
ACHN,15960
ACHN,7725
ACHN,4688
ACHN,5368
ACHN,13658
ACHN,14800
ACHN,4646
ACHN,7856
ACHN,8235
ACHN,5682
ACHN,9671
ACHN,14136
ACHN,9200
ACHN,4014
ACHN,8499
ACHN,3195
ACHN,15621
ACHN,11723
ACHN,4121
ACHN,4467
ACHN,8106
ACHN,16177
ACHN,13736
ACHN,10694
ACHN,7414
ACHN,16860
ACHN,2414
ACHN,3217
ACHN,7142
ACHN,14187
ACHN,16413
ACHN,3161
ACHN,16199
ACHN,240
ACHN,2068
ACHN,13506
ACHN,2686
ACHN,30
ACHN,15592
ACHN,14979
ACHN,15223
ACHN,3308
ACHN,11662
ACHN,3082
ACHN,12865
ACHN,7118
ACHN,10219
ACHN,9981
ACHN,12526
ACHN,12375
ACHN,13324
ACHN,12804
ACHN,5074
ACHN,723
ACHN,15272
ACHN,15816
ACHN,9676
ACHN,513
ACHN,1233
ACHN,7670
ACHN,10915
ACHN,5673
ACHN,4804
ACHN,12621
ACHN,12544
ACHN,2280
ACHN,14718
ACHN,1474
ACHN,7666
ACHN,5558
ACHN,16170
ACHN,9093
ACHN,4304
ACHN,10465
ACHN,15850
ACHN,7517
ACHN,4186
ACHN,12914
ACHN,2010
ACHN,4357
ACHN,15042
BT-549,4306
BT-549,1304
BT-549,8195
BT-549,8160
BT-549,5102
BT-549,9615
BT-549,320
BT-549,15284
BT-549,14608
BT-549,8229
BT-549,8581
BT-549,848
BT-549,13184
BT-549,9514
BT-549,15466
BT-549,8563
BT-549,1513
BT-549,8555
BT-549,10779
BT-549,4791
BT-549,7949
BT-549,4836
BT-549,16086
BT-549,5110
BT-549,16493
BT-549,15526
BT-549,3452
BT-549,8516
BT-549,9446
BT-549,14382
BT-549,16800
BT-549,2051
BT-549,7903
BT-549,3245
BT-549,6448
BT-549,14761
BT-549,11669
BT-549,11191
BT-549,9895
BT-549,6953
BT-549,12585
BT-549,11325
BT-549,14753
BT-549,13660
BT-549,5006
BT-549,13887
BT-549,15186
BT-549,7273
BT-549,12652
BT-549,8223
BT-549,12933
BT-549,3502
BT-549,15080
BT-549,11464
BT-549,15607
BT-549,5009
BT-549,13973
BT-549,9898
BT-549,4032
BT-549,588
BT-549,4790
BT-549,6814
BT-549,4967
BT-549,1278
BT-549,15508
BT-549,5341
BT-549,10551
BT-549,12706
BT-549,13698
BT-549,2007
BT-549,15535
BT-549,15378
BT-549,3887
BT-549,14002
BT-549,13531
BT-549,521
BT-549,6047
BT-549,4621
BT-549,15792
BT-549,5806
BT-549,430
BT-549,14583
BT-549,7497
BT-549,10125
BT-549,4707
BT-549,15123
BT-549,3120
BT-549,13466
BT-549,4394
BT-549,10376
BT-549,5892
BT-549,864
BT-549,14758
BT-549,449
BT-549,15149
BT-549,9273
BT-549,10767
BT-549,12126
BT-549,9639
BT-549,2362
BT-549,3461
BT-549,1579
BT-549,7959
BT-549,10665
BT-549,7038
BT-549,2226
BT-549,16466
BT-549,3754
BT-549,16278
BT-549,8238
BT-549,13356
BT-549,8236
BT-549,4302
BT-549,3186
BT-549,14775
BT-549,8241
BT-549,14523
BT-549,1333
BT-549,4060
BT-549,12501
BT-549,5493
BT-549,11044
BT-549,9587
BT-549,13026
BT-549,9561
BT-549,3119
BT-549,10617
BT-549,4830
BT-549,16068
BT-549,13270
BT-549,2717
BT-549,5172
BT-549,14298
BT-549,11026
BT-549,6556
BT-549,2872
BT-549,8216
BT-549,6060
BT-549,8230
BT-549,8233
BT-549,6256
BT-549,5383
BT-549,6308
BT-549,296
BT-549,13958
BT-549,614
BT-549,10595
BT-549,1675
BT-549,15793
BT-549,2508
BT-549,853
BT-549,898
BT-549,5516
BT-549,11989
BT-549,5080
BT-549,2391
BT-549,9203
BT-549,1587
BT-549,10089
BT-549,5555
BT-549,16426
BT-549,15904
BT-549,1312
BT-549,14798
BT-549,7965
BT-549,12036
BT-549,13948
BT-549,967
BT-549,5557
BT-549,15967
BT-549,17010
BT-549,12932
BT-549,1405
BT-549,4305
BT-549,11624
BT-549,5539
BT-549,8234
BT-549,10443
BT-549,6855
BT-549,12623
BT-549,16586
BT-549,5387
BT-549,14449
BT-549,13227
BT-549,4401
BT-549,16191
BT-549,15351
BT-549,5290
BT-549,1588
BT-549,16086
BT-549,12193
BT-549,11267
BT-549,8169
BT-549,3341
BT-549,16441
BT-549,6145
BT-549,15810
BT-549,15765
BT-549,17088
BT-549,14461
BT-549,7802
BT-549,8103
BT-549,16374
BT-549,11453
BT-549,5818
BT-549,10759
BT-549,6473
BT-549,16643
BT-549,14659
BT-549,15593
BT-549,7940
BT-549,625
BT-549,13346
BT-549,6423
BT-549,5150
BT-549,15229
BT-549,12763
BT-549,4076
BT-549,2849
BT-549,16472
BT-549,12427
BT-549,1021
BT-549,10210
BT-549,1181
BT-549,10289
BT-549,4117
BT-549,7679
BT-549,294
BT-549,4950
BT-549,7997
BT-549,6960
BT-549,15292
BT-549,703
BT-549,15487
BT-549,15697
BT-549,12654
BT-549,13541
BT-549,12633
BT-549,1475
BT-549,11633
BT-549,6114
BT-549,5160
BT-549,15369
BT-549,4700
BT-549,13425
