drug	protein
ALLOPURINOL	11467
AMIFOSTINE	4283
AMINOLEVULINIC ACID HYDROCHLORIDE	13375
ANASTROZOLE	12674
ANTIBIOTIC AY 22989	9053
AZACYTIDINE	8846
BLEOMYCIN	2509
BLEOMYCIN	11355
BORTEZOMIB	9203
BORTEZOMIB	2314
CARMUSTINE	559
CISPLATINO	6544
CISPLATINO	13313
CISPLATINO	509
CISPLATINO	15223
CO-V	10449
CYCLOPHOSPHAMIDE	7470
DASATINIB	10344
DASATINIB	17009
DASATINIB	879
DASATINIB	2667
DASATINIB	10683
DASATINIB	15164
DASATINIB	16795
DASATINIB	8296
DASATINIB	5022
DASATINIB	16504
DASATINIB	16884
DASATINIB	15104
DASATINIB	15272
DASATINIB	10602
DASATINIB	10878
DASATINIB	8722
DASATINIB	7582
DASATINIB	4155
DASATINIB	2240
DASATINIB	527
DASATINIB	3937
DASATINIB	16140
DASATINIB	8692
DOCETAXEL	12883
DOCETAXEL	8925
DOCETAXEL	423
DOCETAXEL	7470
DOCETAXEL	8941
DOCETAXEL	7809
ERLOTINIB HYDROCHLORIDE	3402
IFOSFAMIDE	7470
IMIQUIMOD	5730
IMIQUIMOD	11674
LAPATINIB	3402
LAPATINIB	3133
MITOTANE	4116
MITOTANE	2062
MITOTANE	6624
MITOTANE	14217
MITOTANE	10801
NSC-127716	8846
NSC-127716	6876
NSC-127716	2750
NSC256439	14427
NSC733504	9053
PACLITAXEL	12883
PACLITAXEL	8925
PACLITAXEL	423
PACLITAXEL	7470
PACLITAXEL	8941
PACLITAXEL	7809
PRALATREXATE	5964
PRALATREXATE	13853
ROMIDEPSIN	13001
ROMIDEPSIN	15218
ROMIDEPSIN	2726
ROMIDEPSIN	10598
ROMIDEPSIN	7309
SN-38	9046
SORAFENIB	2271
SORAFENIB	3950
SORAFENIB	2240
SORAFENIB	3683
SORAFENIB	1168
SORAFENIB	8413
SORAFENIB	3937
SORAFENIB	13739
SORAFENIB	2611
SORAFENIB	1534
SUNITINIB	3844
SUNITINIB	1168
SUNITINIB	8413
SUNITINIB	3937
THALIDOMIDE	13956
THALIDOMIDE	9427
THALIDOMIDE	780
THALIDOMIDE	13813
THALIDOMIDE	14374
THALIDOMIDE	941
ZOLEDRONIC ACID	3700
ZOLEDRONIC ACID	8516
ZOLINZA	10601
ZOLINZA	4975
ZOLINZA	15218
ZOLINZA	10598
ZOLINZA	7309
ANTIBIOTIC AD 32	14427
5-FLUORO-2'-DEOXYURIDINE	5964
HYDROXYUREA	4767
IMATINIB	10344
IMATINIB	2240
IMATINIB	5022
IMATINIB	3844
IMATINIB	8413
IMATINIB	3937
IMATINIB	1851
IMATINIB	15249
MERCAPTOPURINE	4605
MERCAPTOPURINE	2667
MERCAPTOPURINE	6362
TAMOXIFEN CITRATE	14217
TRETINOIN	48
TRETINOIN	8880
TRETINOIN	1446
TRETINOIN	3
TRETINOIN	7151
TRETINOIN	13543
TRETINOIN	707
TRETINOIN	3830
TRETINOIN	1663
TRETINOIN	4544
TRETINOIN	10194
TRETINOIN	4270
TRETINOIN	11
TRETINOIN	14813
TRETINOIN	10800
TRETINOIN	2553
TRETINOIN	15574
5-FU	5964
ABT-888	1470
ABT-888	9283
ACTINOMYCIN D	13870
AZD1775	4713
AZD1775	14101
CELECOXIB	9427
CELECOXIB	3075
CELECOXIB	8076
CELECOXIB	3807
CELECOXIB	3806
CRIZOTINIB	12030
CRIZOTINIB	6055
DINACICLIB	12529
DINACICLIB	2984
DINACICLIB	14818
DINACICLIB	10542
ERLOTINIB	3402
GELDANAMYCIN	7414
GELDANAMYCIN	4688
GELDANAMYCIN	10210
LETROZOLE	12674
METHOTREXATE	1056
METHOTREXATE	5964
METHOTREXATE	13853
MK-2206	15931
MK-2206	12147
MK-4827	1470
MK-4827	9283
MK-8669	9053
MK-8776	13550
MK-8776	2984
MK-8776	11925
PD325901	4919
VEMURAFENIB	3950
ABIRATERONE	9906
AXITINIB	2611
AXITINIB	2271
AXITINIB	3683
CABAZITAXEL	423
CABAZITAXEL	1402
DACARBAZINE	2873
DACARBAZINE	3194
DEXRAZOXANE	13870
DEXRAZOXANE	14427
EXEMESTANE	12674
GEFITINIB	3402
LENALIDOMIDE	941
LOMUSTINE	7961
MEGESTROL ACETATE	6624
