drug	protein
3345	13800
3345	1028
3345	2881
3345	16597
5206	13729
5206	14430
5206	15167
5206	14902
5206	9080
5206	16323
5206	12576
9433	8799
9433	9375
9433	9865
9433	15218
4601	2507
4601	10209
4601	1015
4601	9169
4601	12754
4601	523
4601	13634
5090	9427
5090	8787
5556	16323
5556	16664
4946	9793
4946	5156
4946	8044
4946	5998
4946	9915
5391	16323
5391	16664
5584	2217
5584	523
5584	3174
5584	15449
5584	5998
5584	11660
5584	5275
5584	9116
5584	16780
5584	12754
5584	3423
5584	8393
5584	10789
5584	3563
5584	5232
5584	8044
5584	11963
2802	16323
2802	16664
2802	7470
5381226	7470
4212	14427
60953	5964
3308	9427
3308	9064
3308	14813
60795	5998
60795	9116
60795	15449
60795	11660
60795	5275
60795	11974
60795	10789
60795	7590
60795	3563
60795	13333
60795	12754
60795	9915
60795	3423
60795	8393
60795	3991
60795	12336
60795	171
60795	16780
60795	5372
60795	5232
60795	1929
60795	3923
60795	9793
60795	5156
60795	11186
60795	7962
60795	1829
60795	5257
60795	13996
60795	1744
60795	14352
60795	11963
60795	2881
60795	13800
60795	1028
60795	1015
60795	3174
60795	2217
3446	8540
3446	14717
3446	10176
3446	9375
3446	12024
3446	8146
4107	15225
4917	9116
4917	12754
4917	11473
4917	13333
71329	2310
71329	13774
71329	16176
3823	10801
3823	9906
3823	14337
3823	2310
3823	7470
3823	9527
54454	3926
54454	8533
54454	15218
2907	7470
4192	16323
4192	16664
3348	12754
1986	15225
1986	3806
1986	4775
1986	176
1986	9764
1986	3807
1986	8193
1986	5646
4158	3174
4158	523
4158	5998
3696	523
3696	15449
3696	2217
3696	12754
3696	11660
3696	11473
3696	5257
3696	13996
3696	1744
3696	14352
3696	11963
3696	7250
3696	6213
3696	3423
3696	5275
3696	7590
3696	5232
3696	9116
3696	2310
3696	3174
3696	5998
3696	3991
3696	3223
3696	13813
3899	492
3899	1172
3899	12809
5311181	4058
5311181	4124
5311181	11680
5311181	7133
5311181	8383
5311181	8185
5311181	549
5311181	7199
3826	9427
3826	9064
5493444	3234
3261	16323
3261	16664
2162	2953
2162	10176
2162	12409
2162	14774
2162	15225
2162	7773
2162	13235
2162	10176
3386	2217
3386	3423
3386	13238
3386	5962
3386	2230
3386	5641
3386	2310
119607	9427
119607	3806
119607	3807
3957	12754
3957	2310
4595	8393
4595	8982
4595	13800
4595	5998
4595	9915
104865	5924
104865	11176
3007	4597
3007	3174
3007	4451
3007	3395
3007	523
3007	13333
3007	8044
3007	9116
3007	11298
3007	2217
3007	11298
4506	16323
4506	16664
4506	5029
3559	9116
3559	12336
3559	16539
3559	15449
3559	11974
3559	1423
3559	4597
3559	3423
3559	3461
3559	12754
3559	1744
3559	11660
3559	3563
3559	16780
3559	13333
3559	5998
3559	3991
3559	7590
4909	13729
4909	14917
4909	9978
4909	2685
4909	7452
4909	3364
4909	9968
4909	14303
4909	4421
4909	13885
4909	16323
2520	2953
2520	10176
2520	8924
2520	8198
2520	8801
2520	7325
2520	2310
2520	2217
2520	11660
2520	5275
2520	11473
60852	8516
60852	3700
60854	9116
60854	12336
60854	5232
60854	15449
60854	11974
60854	171
60854	5998
60854	9915
60854	10789
60854	5372
60854	3423
60854	3991
60854	7590
60854	12754
60854	11660
60854	5275
60854	3563
60854	16780
60854	13333
60854	5257
60854	13996
60854	1744
60854	14352
60854	11963
60854	14250
60854	3923
3958	16323
3958	16664
5505	5055
5505	12219
216326	941
216326	12951
216326	8063
216326	9427
4485	2953
4485	7470
4485	8555
4485	3938
4485	9178
4485	6245
4485	6213
4485	13235
4539	14427
5245	8516
176870	3402
176870	7470
39765	13238
667490	4605
667490	2667
667490	6362
65999	14797
65999	3920
5656	2217
5656	523
5656	3174
4510	9661
2554	13379
2554	9968
2554	7470
5717	16617
3749	14797
3749	10150
4201	12219
4201	9064
4201	3234
3440	12691
3440	3806
3440	14434
57469	11674
57469	5730
27661	3669
2405	9793
2405	5156
3016	16323
3016	16664
4189	4518
4189	6778
4189	7470
4189	16872
4189	5259
4189	15496
5538	10800
5538	8880
5538	13543
5538	4544
5538	48
5538	1446
5538	1663
5538	7151
5538	2553
5538	15574
5538	10194
5538	11
5538	14813
5538	707
5538	3
5538	3830
5538	4270
2576	13729
2576	3365
2576	14391
2576	7452
2576	9978
2541	14797
2585	9793
2585	11660
2585	3603
2585	5156
2585	16624
2585	11064
2585	3691
2585	2310
2585	4234
2585	11473
2585	5275
2585	13333
2585	16780
2585	3563
2585	7101
2585	15458
2585	5259
2585	1218
2585	11473
4543	523
4543	2217
4543	15449
4543	5998
4543	12754
4543	11660
4543	11473
4543	3423
4543	5275
4543	13333
4543	8044
4543	9116
4543	3461
4543	11963
5533	15449
5533	3423
5533	2217
5533	5998
5533	12754
5533	11660
5533	3563
77999	3920
77999	7724
77999	13279
77999	5631
77999	14813
77999	10800
77999	8880
2092	11660
2092	5275
2092	11473
2092	11473
2678	12754
4927	12754
4927	9116
4927	5257
4927	13996
4927	1744
4927	14352
4927	11963
4927	13333
4927	8555
4927	11186
4927	13379
2756	11186
2803	3563
2803	16780
2803	13333
2803	11660
2803	5275
2803	11473
60835	2217
60835	523
60835	3174
5530	11298
5530	7800
3657	4767
2088	8516
2088	2576
2088	8606
2088	1695
2088	3304
156419	14843
4034	12754
4034	9527
4893	11660
4893	5275
4893	11473
4893	2310
4893	3563
4893	16780
4893	11473
5358	10789
5358	9915
5358	6465
5358	5998
2578	559
2118	16323
2118	16664
3715	9064
3715	9427
3715	13077
3715	15946
3715	3920
3715	10562
3715	7199
3715	13279
3715	11658
3715	963
3825	9064
3825	9427
3825	4303
216239	3950
216239	1534
216239	2271
216239	2611
216239	1168
216239	2240
216239	3937
216239	13739
216239	8413
216239	3683
3152	4999
3152	15449
3152	2695
3152	16583
3152	1214
3152	2518
3152	780
3152	1015
3883	2396
3883	7809
3157	11660
3157	11473
3157	7099
3157	5275
3333	2953
3333	8540
3333	6245
3333	3938
3333	9178
3333	7325
3333	14717
3333	8555
3333	1202
3333	14375
3333	8685
3333	10379
3333	959
4594	2396
4594	1172
2662	9427
2662	8076
2662	3806
2662	3807
2662	3075
4679	2396
4679	3745
5210	523
5210	2217
5210	3174
124087	12754
3516	1015
3404	2217
3404	2310
3325	11186
4054	8393
4054	14303
4054	9116
4054	10209
4054	1015
4054	16323
4054	2702
5095	11974
5095	171
5095	13333
5095	9116
3878	9447
3878	13379
3878	9375
3878	7473
3878	11660
3878	3563
3878	9793
3878	5232
3878	9116
3878	16323
3878	16664
3878	12754
3878	2881
3878	2108
3878	15449
3878	8393
3878	15167
4058	2881
4058	10209
4058	16539
4058	12690
4058	4148
4058	2507
4058	11963
4058	13800
4058	3174
4058	523
4058	2217
4058	8959
2244	9064
2244	9427
2244	11704
2244	13889
2244	5924
2244	3119
2244	6556
2244	11494
2244	407
2244	1214
2244	15310
2244	5638
2244	15227
2244	5635
2244	795
2244	16700
2244	11430
2244	10940
2771	2217
2771	12754
5735	13729
5735	14917
5735	9978
5735	7452
5735	12654
4497	2953
4497	3938
4497	11035
4497	9178
4497	12409
4497	6245
4497	4787
4497	15496
4497	8685
4497	1172
5732	13729
5732	14917
5732	9978
5732	14391
4499	2953
4499	8540
4499	6245
4499	3938
4499	9178
5035	14217
5035	8055
5035	11678
5035	4067
2800	14217
2800	11641
123606	9915
123606	10789
5487	13333
5487	7746
5487	11473
36811	9793
36811	5156
36811	11473
36811	14217
5734	5029
5734	10909
5734	3723
5734	13854
5734	14372
5734	13379
5734	5357
5734	13879
5734	3527
5734	12234
5734	6429
5734	8801
5734	7325
5734	13235
5734	15225
5734	3806
5734	3807
5734	4775
5734	5525
5734	5876
5734	11210
5734	8193
5734	5894
5734	11331
5734	14219
5734	111
5734	176
5734	6165
5734	9764
5734	11298
5734	7800
3463	13279
3463	1832
3463	7536
3463	3985
3463	2126
4583	14427
2284	11137
2284	2006
5029	2396
3639	14103
3639	3861
5281104	15800
4829	3920
4829	11298
3385	5964
60198	12674
2153	9375
2153	7473
2153	5098
2153	7133
2153	8330
2153	11680
2153	8799
2153	15218
2153	6054
2153	12893
2153	3911
2153	9283
2153	5456
77993	10789
77993	9915
77993	6465
77993	5998
2732	12691
2732	15225
5152	5156
5152	9793
5152	8044
74989	492
3676	13634
3676	13379
3676	14372
3676	3402
3676	13854
3676	2003
3676	13813
3672	9427
3672	9064
3672	12883
3672	11155
3672	3331
3672	3920
3672	8
3672	13279
3672	6937
3672	9672
2726	9116
2726	12336
2726	5998
2726	15449
2726	11660
2726	5275
2726	12754
2726	2310
2726	5232
2726	11974
2726	171
2726	5232
2726	3423
2726	3423
2726	11473
2726	13333
2726	5257
2726	1744
2726	7773
2726	8555
2726	13813
2726	3991
2726	7590
2726	1829
3393	16323
3393	16664
4999	16323
4999	16664
5329102	2240
5329102	3683
5329102	3937
5329102	2611
5329102	2271
5329102	1168
5329102	3844
5329102	1851
2471	12691
2471	2372
2471	13840
2471	13518
2471	8
3305	8606
3305	3304
3305	3627
3305	10219
3305	11779
3410	5156
3410	9793
3410	8044
2083	5156
2083	9793
2083	8044
4046	7473
5978	7662
5978	1402
444	3174
444	523
444	5962
444	8393
4075	9427
4075	9064
4075	10750
4075	3920
4075	10000
4075	15227
4075	715
3675	7800
3675	11298
3675	5755
3675	12698
3675	12497
3675	8164
4585	15449
4585	9116
4585	12336
4585	5232
4585	11974
4585	171
4585	3423
4585	8393
4585	3991
4585	12754
4585	11660
4585	5275
4585	5257
4585	13996
4585	1744
4585	14352
4585	5232
4585	8044
4585	6465
4585	16664
5078	10789
5078	9915
5078	6465
41693	13800
41693	1028
41693	2881
41781	12691
41781	2372
3869	9793
3869	5156
3869	11473
3961	14797
4991	4999
4991	2695
4091	858
4091	15074
4091	4794
2719	14839
2719	13956
2719	8979
2719	8170
2719	5678
2719	13586
2712	16323
2712	16664
657298	6155
91270	4046
42113	16323
42113	14430
42113	15167
42113	11922
42113	294
42113	9080
42113	15537
3108	15472
3108	10449
3108	8330
3108	11680
3108	11740
3108	2003
2265	8467
2801	2217
2801	15449
2801	1929
2801	3423
2801	523
2801	12933
34312	6429
2749	15739
4168	9116
4168	5257
4168	8982
4168	8393
2720	14103
2720	15225
2720	3806
154059	1744
154059	5257
154059	13996
154059	14352
154059	11963
4634	1744
4634	13996
4634	5257
2764	14427
2764	2310
2160	523
2160	2217
2160	15449
2160	5998
2160	1028
2160	2881
2160	15249
2160	3462
2160	11660
2160	11473
2160	3563
2160	12754
2160	8803
2160	11922
2160	11186
2160	1829
2160	3461
2160	3423
2160	5275
2160	7590
2160	10789
2160	13800
2160	9915
2160	3991
2160	12024
2160	11963
2160	7099
4211	4116
4211	2062
4211	14217
4211	6624
4211	10801
4170	14103
4171	9793
4171	5156
4616	16323
4616	16664
4614	9064
4614	9427
3042	5257
3042	1744
3042	13996
5212	8330
5212	6867
5212	2955
125017	523
125017	2217
125017	3174
5719	13729
3394	9064
3394	9427
1775	14372
1775	5029
1775	7470
1775	13879
1775	3723
1775	2310
1775	8924
1775	10909
1775	8282
1775	16323
3767	10164
3767	7916
3767	7588
3767	10172
56339	14372
2187	12674
2267	12754
2267	11186
2267	5750
2267	4132
2249	9793
2249	5156
3488	8198
3488	2127
3488	2596
3488	10809
3488	1151
3488	2888
3488	8
3488	1590
4740	7473
4740	9375
4740	1876
5253	2310
5253	9793
5253	5156
3690	7470
5572	5257
5572	13996
5572	1744
5572	14352
5572	11963
2818	9116
2818	15449
2818	12336
2818	11974
2818	171
2818	5998
2818	9915
2818	10789
2818	5372
2818	8393
2818	3423
2818	3991
2818	7590
2818	12754
2818	1829
2818	11660
2818	5275
2818	3563
2818	16780
2818	13333
2818	5257
2818	13996
2818	1744
2818	14352
2818	11963
2818	1595
2818	12933
4911	11265
4911	4871
4911	7536
4911	798
4911	1429
2895	15449
2895	1929
2895	3423
2895	3991
2895	2217
2895	523
2895	7590
2895	10680
2895	10805
68740	8516
68740	3700
51263	13800
2435	3563
2435	16780
2435	13333
2812	2437
2812	7470
2812	12091
4943	3365
4943	5447
4943	13854
4943	10909
4943	16323
3478	5055
3478	3920
60815	13800
60815	1028
60815	2881
5401	11660
5401	5275
5401	11473
5401	2310
5401	16169
5401	7099
5401	604
3652	11674
3652	8979
3652	13586
68844	3806
68844	15225
68844	4775
68844	5525
68844	3807
5282226	10074
4409	9427
4409	9064
2733	3861
5073	15449
5073	9116
5073	5275
5073	16780
5073	11660
5073	13333
5073	12754
5073	3423
5073	10789
5073	5998
5073	7590
5073	12336
3658	12754
3658	2310
5291	5022
5291	3937
5291	8413
5291	15249
5291	3844
5291	1851
5291	10344
5291	2240
150311	3984
150311	9461
150311	4707
3339	13279
3339	7581
3339	7470
16231	8918
16231	8203
16231	4708
16231	11425
16231	14431
16231	748
16231	815
16231	2621
16231	10423
2477	5998
2477	9116
2477	11974
2477	171
2477	11473
54841	523
54841	2217
54841	1015
54841	4255
54841	2881
3168	9116
3168	11660
3476	8198
3476	12219
3476	5055
4873	2372
4873	12691
4873	13518
4873	8242
4873	2784
4873	13840
4205	15449
4205	3563
4205	3423
4205	2881
4205	12754
4205	11473
5002	15449
5002	9116
5002	5998
5002	9915
5002	10789
5002	5372
5002	3423
5002	8393
5002	3991
5002	7590
5002	12336
5002	5232
5002	11974
5002	171
5002	12754
5002	11473
5002	3563
5002	16780
5002	13333
5002	5257
5002	13996
5002	1744
5002	14352
5002	11963
2474	13634
2474	4124
3121	9718
3121	14334
3121	656
3121	5912
3121	6429
3121	15218
3121	13279
3121	5631
3121	3920
4845	5156
4845	9793
