drug	protein
LEE011	2902
LEE011	1890
Everolimus	9053
Binimetinib	13956
Binimetinib	2518
Binimetinib	13006
Binimetinib	2449
Binimetinib	13290
Encorafenib	3950
Encorafenib	795
Trametinib	4919
Trametinib	2449
Paclitaxel	423
Paclitaxel	8941
Paclitaxel	8925
Paclitaxel	12883
Paclitaxel	7470
Paclitaxel	7809
Tamoxifen	14217
Tamoxifen	11641
Tamoxifen	14639
Tamoxifen	8055
Tamoxifen	2310
Tamoxifen	7470
Tamoxifen	10801
Tamoxifen	9309
Tamoxifen	11363
Tamoxifen	12567
Erlotinib	3402
Erlotinib	7470
LCL161	10143
Dacarbazine	2873
Dacarbazine	3194
